#radius[cm] density[g/cm^3] temperature[K] pressure[dyne/cm^2] sp.energy[erg/g] sp.entropy[erg/g/K] menclosed[g] matID
2.91765333e+07 1.29840604e+01 6.17239040e+03 4.32013040e+12 9.70192328e+10 1.82135864e+07 1.36639590e+24 402
2.93910667e+07 1.29838415e+01 6.17225932e+03 4.31983651e+12 9.70136320e+10 1.82135864e+07 1.39663340e+24 402
2.96056000e+07 1.29836210e+01 6.17212727e+03 4.31954047e+12 9.70079900e+10 1.82135864e+07 1.42731342e+24 402
2.98201333e+07 1.29833989e+01 6.17199426e+03 4.31924226e+12 9.70023069e+10 1.82135864e+07 1.45843915e+24 402
3.00346667e+07 1.29831752e+01 6.17186028e+03 4.31894189e+12 9.69965825e+10 1.82135864e+07 1.49001381e+24 402
3.02492000e+07 1.29829499e+01 6.17172534e+03 4.31863937e+12 9.69908170e+10 1.82135864e+07 1.52204060e+24 402
3.04637333e+07 1.29827230e+01 6.17158944e+03 4.31833468e+12 9.69850104e+10 1.82135864e+07 1.55452271e+24 402
3.06782667e+07 1.29824944e+01 6.17145258e+03 4.31802783e+12 9.69791626e+10 1.82135864e+07 1.58746336e+24 402
3.08928000e+07 1.29822643e+01 6.17131475e+03 4.31771882e+12 9.69732736e+10 1.82135864e+07 1.62086573e+24 402
3.11073333e+07 1.29820325e+01 6.17117596e+03 4.31740766e+12 9.69673434e+10 1.82135864e+07 1.65473304e+24 402
3.13218667e+07 1.29817992e+01 6.17103620e+03 4.31709433e+12 9.69613721e+10 1.82135864e+07 1.68906848e+24 402
3.15364000e+07 1.29815642e+01 6.17089548e+03 4.31677885e+12 9.69553597e+10 1.82135864e+07 1.72387525e+24 402
3.17509333e+07 1.29813276e+01 6.17075380e+03 4.31646120e+12 9.69493061e+10 1.82135864e+07 1.75915656e+24 402
3.19654667e+07 1.29810895e+01 6.17061116e+03 4.31614140e+12 9.69432114e+10 1.82135864e+07 1.79491560e+24 402
3.21800000e+07 1.29808497e+01 6.17046755e+03 4.31581944e+12 9.69370755e+10 1.82135864e+07 1.83115557e+24 402
3.23945333e+07 1.29806083e+01 6.17032298e+03 4.31549532e+12 9.69308985e+10 1.82135864e+07 1.86787967e+24 402
3.26090667e+07 1.29803653e+01 6.17017745e+03 4.31516904e+12 9.69246804e+10 1.82135864e+07 1.90509111e+24 402
3.28236000e+07 1.29801206e+01 6.17003095e+03 4.31484061e+12 9.69184211e+10 1.82135864e+07 1.94279307e+24 402
3.30381333e+07 1.29798744e+01 6.16988349e+03 4.31451001e+12 9.69121207e+10 1.82135864e+07 1.98098877e+24 402
3.32526667e+07 1.29796266e+01 6.16973507e+03 4.31417726e+12 9.69057792e+10 1.82135864e+07 2.01968138e+24 402
3.34672000e+07 1.29793772e+01 6.16958569e+03 4.31384235e+12 9.68993966e+10 1.82135864e+07 2.05887412e+24 402
3.36817333e+07 1.29791261e+01 6.16943535e+03 4.31350529e+12 9.68929728e+10 1.82135864e+07 2.09857018e+24 402
3.38962667e+07 1.29788735e+01 6.16928404e+03 4.31316606e+12 9.68865080e+10 1.82135864e+07 2.13877275e+24 402
3.41108000e+07 1.29786192e+01 6.16913177e+03 4.31282468e+12 9.68800020e+10 1.82135864e+07 2.17948503e+24 402
3.43253333e+07 1.29783634e+01 6.16897854e+03 4.31248114e+12 9.68734550e+10 1.82135864e+07 2.22071022e+24 402
3.45398667e+07 1.29781059e+01 6.16882435e+03 4.31213545e+12 9.68668668e+10 1.82135864e+07 2.26245151e+24 402
3.47544000e+07 1.29778468e+01 6.16866919e+03 4.31178760e+12 9.68602376e+10 1.82135864e+07 2.30471210e+24 402
3.49689333e+07 1.29775862e+01 6.16851308e+03 4.31143760e+12 9.68535672e+10 1.82135864e+07 2.34749518e+24 402
3.51834667e+07 1.29773239e+01 6.16835600e+03 4.31108543e+12 9.68468558e+10 1.82135864e+07 2.39080395e+24 402
3.53980000e+07 1.29770600e+01 6.16819796e+03 4.31073112e+12 9.68401033e+10 1.82135864e+07 2.43464160e+24 402
3.56125333e+07 1.29767945e+01 6.16803896e+03 4.31037464e+12 9.68333097e+10 1.82135864e+07 2.47901132e+24 402
3.58270667e+07 1.29765274e+01 6.16787900e+03 4.31001602e+12 9.68264751e+10 1.82135864e+07 2.52391630e+24 402
3.60416000e+07 1.29762587e+01 6.16771807e+03 4.30965523e+12 9.68195994e+10 1.82135864e+07 2.56935975e+24 402
3.62561333e+07 1.29759884e+01 6.16755619e+03 4.30929230e+12 9.68126826e+10 1.82135864e+07 2.61534485e+24 402
3.64706667e+07 1.29757165e+01 6.16739334e+03 4.30892720e+12 9.68057247e+10 1.82135864e+07 2.66187479e+24 402
3.66852000e+07 1.29754429e+01 6.16722954e+03 4.30855996e+12 9.67987258e+10 1.82135864e+07 2.70895276e+24 402
3.68997333e+07 1.29751678e+01 6.16706477e+03 4.30819056e+12 9.67916858e+10 1.82135864e+07 2.75658196e+24 402
3.71142667e+07 1.29748911e+01 6.16689904e+03 4.30781900e+12 9.67846048e+10 1.82135864e+07 2.80476558e+24 402
3.73288000e+07 1.29746128e+01 6.16673235e+03 4.30744529e+12 9.67774828e+10 1.82135864e+07 2.85350680e+24 402
3.75433333e+07 1.29743328e+01 6.16656470e+03 4.30706943e+12 9.67703197e+10 1.82135864e+07 2.90280882e+24 402
3.77578667e+07 1.29740513e+01 6.16639609e+03 4.30669142e+12 9.67631155e+10 1.82135864e+07 2.95267483e+24 402
3.79724000e+07 1.29737682e+01 6.16622653e+03 4.30631125e+12 9.67558704e+10 1.82135864e+07 3.00310801e+24 402
3.81869333e+07 1.29734834e+01 6.16605599e+03 4.30592893e+12 9.67485842e+10 1.82135864e+07 3.05411155e+24 402
3.84014667e+07 1.29731971e+01 6.16588450e+03 4.30554445e+12 9.67412570e+10 1.82135864e+07 3.10568864e+24 402
3.86160000e+07 1.29729091e+01 6.16571205e+03 4.30515783e+12 9.67338887e+10 1.82135864e+07 3.15784248e+24 402
3.88305333e+07 1.29726196e+01 6.16553864e+03 4.30476905e+12 9.67264795e+10 1.82135864e+07 3.21057624e+24 402
3.90450667e+07 1.29723284e+01 6.16536427e+03 4.30437812e+12 9.67190292e+10 1.82135864e+07 3.26389311e+24 402
3.92596000e+07 1.29720356e+01 6.16518894e+03 4.30398504e+12 9.67115380e+10 1.82135864e+07 3.31779628e+24 402
3.94741333e+07 1.29717413e+01 6.16501266e+03 4.30358980e+12 9.67040057e+10 1.82135864e+07 3.37228894e+24 402
3.96886667e+07 1.29714453e+01 6.16483541e+03 4.30319242e+12 9.66964324e+10 1.82135864e+07 3.42737427e+24 402
3.99032000e+07 1.29711478e+01 6.16465720e+03 4.30279289e+12 9.66888182e+10 1.82135864e+07 3.48305545e+24 402
4.01177333e+07 1.29708486e+01 6.16447803e+03 4.30239120e+12 9.66811629e+10 1.82135864e+07 3.53933568e+24 402
4.03322667e+07 1.29705478e+01 6.16429790e+03 4.30198736e+12 9.66734667e+10 1.82135864e+07 3.59621813e+24 402
4.05468000e+07 1.29702454e+01 6.16411682e+03 4.30158138e+12 9.66657295e+10 1.82135864e+07 3.65370598e+24 402
4.07613333e+07 1.29699415e+01 6.16393477e+03 4.30117324e+12 9.66579513e+10 1.82135864e+07 3.71180244e+24 402
4.09758667e+07 1.29696359e+01 6.16375177e+03 4.30076295e+12 9.66501322e+10 1.82135864e+07 3.77051066e+24 402
4.11904000e+07 1.29693287e+01 6.16356781e+03 4.30035052e+12 9.66422720e+10 1.82135864e+07 3.82983384e+24 402
4.14049333e+07 1.29690200e+01 6.16338289e+03 4.29993593e+12 9.66343710e+10 1.82135864e+07 3.88977517e+24 402
4.16194667e+07 1.29687096e+01 6.16319701e+03 4.29951920e+12 9.66264289e+10 1.82135864e+07 3.95033781e+24 402
4.18340000e+07 1.29683976e+01 6.16301017e+03 4.29910031e+12 9.66184459e+10 1.82135864e+07 4.01152496e+24 402
4.20485333e+07 1.29680840e+01 6.16282237e+03 4.29867928e+12 9.66104220e+10 1.82135864e+07 4.07333978e+24 402
4.22630667e+07 1.29677689e+01 6.16263362e+03 4.29825610e+12 9.66023571e+10 1.82135864e+07 4.13578548e+24 402
4.24776000e+07 1.29674521e+01 6.16244390e+03 4.29783077e+12 9.65942513e+10 1.82135864e+07 4.19886521e+24 402
4.26921333e+07 1.29671337e+01 6.16225323e+03 4.29740330e+12 9.65861046e+10 1.82135864e+07 4.26258216e+24 402
4.29066667e+07 1.29668137e+01 6.16206160e+03 4.29697368e+12 9.65779169e+10 1.82135864e+07 4.32693952e+24 402
4.31212000e+07 1.29664922e+01 6.16186902e+03 4.29654191e+12 9.65696883e+10 1.82135864e+07 4.39194045e+24 402
4.33357333e+07 1.29661690e+01 6.16167547e+03 4.29610799e+12 9.65614188e+10 1.82135864e+07 4.45758814e+24 402
4.35502667e+07 1.29658442e+01 6.16148097e+03 4.29567192e+12 9.65531084e+10 1.82135864e+07 4.52388576e+24 402
4.37648000e+07 1.29655178e+01 6.16128551e+03 4.29523371e+12 9.65447571e+10 1.82135864e+07 4.59083650e+24 402
4.39793333e+07 1.29651899e+01 6.16108910e+03 4.29479336e+12 9.65363648e+10 1.82135864e+07 4.65844352e+24 402
4.41938667e+07 1.29648603e+01 6.16089172e+03 4.29435085e+12 9.65279317e+10 1.82135864e+07 4.72671000e+24 402
4.44084000e+07 1.29645291e+01 6.16069339e+03 4.29390620e+12 9.65194577e+10 1.82135864e+07 4.79563912e+24 402
4.46229333e+07 1.29641964e+01 6.16049411e+03 4.29345941e+12 9.65109428e+10 1.82135864e+07 4.86523406e+24 402
