#radius[cm] density[g/cm^3] temperature[K] pressure[dyne/cm^2] sp.energy[erg/g] sp.entropy[erg/g/K] menclosed[g] matID
1.58842000e+07 1.13387988e+01 5.18029143e+03 2.43933425e+12 6.04765480e+10 1.82407930e+07 1.93715316e+23 402
1.60689000e+07 1.13386887e+01 5.18022097e+03 2.43922939e+12 6.04744559e+10 1.82407930e+07 2.00510733e+23 402
1.62536000e+07 1.13385773e+01 5.18014969e+03 2.43912330e+12 6.04723394e+10 1.82407930e+07 2.07463197e+23 402
1.64383000e+07 1.13384646e+01 5.18007760e+03 2.43901599e+12 6.04701985e+10 1.82407930e+07 2.14574499e+23 402
1.66230000e+07 1.13383506e+01 5.18000467e+03 2.43890745e+12 6.04680331e+10 1.82407930e+07 2.21846431e+23 402
1.68077000e+07 1.13382353e+01 5.17993093e+03 2.43879769e+12 6.04658433e+10 1.82407930e+07 2.29280785e+23 402
1.69924000e+07 1.13381188e+01 5.17985636e+03 2.43868671e+12 6.04636291e+10 1.82407930e+07 2.36879351e+23 402
1.71771000e+07 1.13380009e+01 5.17978097e+03 2.43857450e+12 6.04613905e+10 1.82407930e+07 2.44643922e+23 402
1.73618000e+07 1.13378818e+01 5.17970476e+03 2.43846107e+12 6.04591274e+10 1.82407930e+07 2.52576288e+23 402
1.75465000e+07 1.13377614e+01 5.17962772e+03 2.43834641e+12 6.04568399e+10 1.82407930e+07 2.60678240e+23 402
1.77312000e+07 1.13376397e+01 5.17954986e+03 2.43823053e+12 6.04545280e+10 1.82407930e+07 2.68951570e+23 402
1.79159000e+07 1.13375167e+01 5.17947118e+03 2.43811342e+12 6.04521917e+10 1.82407930e+07 2.77398068e+23 402
1.81006000e+07 1.13373924e+01 5.17939168e+03 2.43799509e+12 6.04498309e+10 1.82407930e+07 2.86019524e+23 402
1.82853000e+07 1.13372669e+01 5.17931136e+03 2.43787554e+12 6.04474458e+10 1.82407930e+07 2.94817730e+23 402
1.84700000e+07 1.13371400e+01 5.17923021e+03 2.43775476e+12 6.04450362e+10 1.82407930e+07 3.03794476e+23 402
1.86547000e+07 1.13370119e+01 5.17914824e+03 2.43763276e+12 6.04426021e+10 1.82407930e+07 3.12951551e+23 402
1.88394000e+07 1.13368825e+01 5.17906545e+03 2.43750954e+12 6.04401437e+10 1.82407930e+07 3.22290747e+23 402
1.90241000e+07 1.13367518e+01 5.17898183e+03 2.43738509e+12 6.04376609e+10 1.82407930e+07 3.31813854e+23 402
1.92088000e+07 1.13366198e+01 5.17889740e+03 2.43725941e+12 6.04351536e+10 1.82407930e+07 3.41522661e+23 402
1.93935000e+07 1.13364865e+01 5.17881214e+03 2.43713252e+12 6.04326220e+10 1.82407930e+07 3.51418958e+23 402
1.95782000e+07 1.13363520e+01 5.17872606e+03 2.43700440e+12 6.04300659e+10 1.82407930e+07 3.61504535e+23 402
1.97629000e+07 1.13362161e+01 5.17863915e+03 2.43687505e+12 6.04274854e+10 1.82407930e+07 3.71781182e+23 402
1.99476000e+07 1.13360790e+01 5.17855143e+03 2.43674449e+12 6.04248805e+10 1.82407930e+07 3.82250688e+23 402
2.01323000e+07 1.13359406e+01 5.17846288e+03 2.43661270e+12 6.04222512e+10 1.82407930e+07 3.92914842e+23 402
2.03170000e+07 1.13358009e+01 5.17837351e+03 2.43647968e+12 6.04195975e+10 1.82407930e+07 4.03775433e+23 402
2.05017000e+07 1.13356599e+01 5.17828332e+03 2.43634545e+12 6.04169194e+10 1.82407930e+07 4.14834252e+23 402
2.06864000e+07 1.13355177e+01 5.17819231e+03 2.43620999e+12 6.04142169e+10 1.82407930e+07 4.26093085e+23 402
