#radius[cm] density[g/cm^3] temperature[K] pressure[dyne/cm^2] sp.energy[erg/g] sp.entropy[erg/g/K] menclosed[g] matID
1.86801667e+07 1.19474457e+01 5.50130666e+03 3.05474736e+12 7.24019823e+10 1.81731155e+07 3.31456676e+23 402
1.88768000e+07 1.19473124e+01 5.50122432e+03 3.05460160e+12 7.23991246e+10 1.81731155e+07 3.41976267e+23 402
1.90734333e+07 1.19471778e+01 5.50114111e+03 3.05445430e+12 7.23962366e+10 1.81731155e+07 3.52716036e+23 402
1.92700667e+07 1.19470417e+01 5.50105703e+03 3.05430547e+12 7.23933185e+10 1.81731155e+07 3.63678263e+23 402
1.94667000e+07 1.19469043e+01 5.50097208e+03 3.05415509e+12 7.23903702e+10 1.81731155e+07 3.74865222e+23 402
1.96633333e+07 1.19467654e+01 5.50088626e+03 3.05400318e+12 7.23873917e+10 1.81731155e+07 3.86279191e+23 402
1.98599667e+07 1.19466251e+01 5.50079957e+03 3.05384972e+12 7.23843831e+10 1.81731155e+07 3.97922445e+23 402
2.00566000e+07 1.19464834e+01 5.50071201e+03 3.05369473e+12 7.23813442e+10 1.81731155e+07 4.09797260e+23 402
2.02532333e+07 1.19463404e+01 5.50062358e+03 3.05353820e+12 7.23782752e+10 1.81731155e+07 4.21905913e+23 402
2.04498667e+07 1.19461959e+01 5.50053428e+03 3.05338013e+12 7.23751760e+10 1.81731155e+07 4.34250679e+23 402
2.06465000e+07 1.19460500e+01 5.50044411e+03 3.05322052e+12 7.23720467e+10 1.81731155e+07 4.46833833e+23 402
2.08431333e+07 1.19459027e+01 5.50035308e+03 3.05305937e+12 7.23688871e+10 1.81731155e+07 4.59657651e+23 402
2.10397667e+07 1.19457540e+01 5.50026117e+03 3.05289668e+12 7.23656974e+10 1.81731155e+07 4.72724408e+23 402
2.12364000e+07 1.19456038e+01 5.50016840e+03 3.05273245e+12 7.23624775e+10 1.81731155e+07 4.86036379e+23 402
2.14330333e+07 1.19454523e+01 5.50007475e+03 3.05256669e+12 7.23592275e+10 1.81731155e+07 4.99595839e+23 402
2.16296667e+07 1.19452994e+01 5.49998024e+03 3.05239939e+12 7.23559473e+10 1.81731155e+07 5.13405062e+23 402
2.18263000e+07 1.19451450e+01 5.49988486e+03 3.05223054e+12 7.23526369e+10 1.81731155e+07 5.27466324e+23 402
2.20229333e+07 1.19449893e+01 5.49978861e+03 3.05206016e+12 7.23492964e+10 1.81731155e+07 5.41781897e+23 402
2.22195667e+07 1.19448321e+01 5.49969149e+03 3.05188825e+12 7.23459257e+10 1.81731155e+07 5.56354058e+23 402
2.24162000e+07 1.19446736e+01 5.49959350e+03 3.05171479e+12 7.23425249e+10 1.81731155e+07 5.71185079e+23 402
2.26128333e+07 1.19445136e+01 5.49949464e+03 3.05153980e+12 7.23390939e+10 1.81731155e+07 5.86277233e+23 402
2.28094667e+07 1.19443523e+01 5.49939491e+03 3.05136326e+12 7.23356328e+10 1.81731155e+07 6.01632796e+23 402
2.30061000e+07 1.19441895e+01 5.49929432e+03 3.05118519e+12 7.23321415e+10 1.81731155e+07 6.17254040e+23 402
2.32027333e+07 1.19440253e+01 5.49919285e+03 3.05100559e+12 7.23286200e+10 1.81731155e+07 6.33143239e+23 402
2.33993667e+07 1.19438597e+01 5.49909052e+03 3.05082444e+12 7.23250684e+10 1.81731155e+07 6.49302664e+23 402
2.35960000e+07 1.19436927e+01 5.49898732e+03 3.05064176e+12 7.23214867e+10 1.81731155e+07 6.65734591e+23 402
