#radius[cm] density[g/cm^3] temperature[K] pressure[dyne/cm^2] sp.energy[erg/g] sp.entropy[erg/g/K] menclosed[g] matID
3.64000000e+06 6.62869421e+00 2.43569078e+03 7.82887831e+10 1.68840244e+10 1.94283669e+07 1.36798946e+21 402
3.69200000e+06 6.62868287e+00 2.43568156e+03 7.82864757e+10 1.68840046e+10 1.94283669e+07 1.42703194e+21 402
3.74400000e+06 6.62867137e+00 2.43567221e+03 7.82841352e+10 1.68839845e+10 1.94283669e+07 1.48774920e+21 402
3.79600000e+06 6.62865970e+00 2.43566273e+03 7.82817614e+10 1.68839642e+10 1.94283669e+07 1.55016465e+21 402
3.84800000e+06 6.62864787e+00 2.43565311e+03 7.82793545e+10 1.68839435e+10 1.94283669e+07 1.61430171e+21 402
3.90000000e+06 6.62863588e+00 2.43564336e+03 7.82769144e+10 1.68839226e+10 1.94283669e+07 1.68018380e+21 402
3.95200000e+06 6.62862372e+00 2.43563348e+03 7.82744411e+10 1.68839014e+10 1.94283669e+07 1.74783433e+21 402
4.00400000e+06 6.62861140e+00 2.43562347e+03 7.82719346e+10 1.68838799e+10 1.94283669e+07 1.81727673e+21 402
4.05600000e+06 6.62859892e+00 2.43561332e+03 7.82693949e+10 1.68838581e+10 1.94283669e+07 1.88853441e+21 402
4.10800000e+06 6.62858627e+00 2.43560305e+03 7.82668221e+10 1.68838361e+10 1.94283669e+07 1.96163078e+21 402
4.16000000e+06 6.62857346e+00 2.43559263e+03 7.82642161e+10 1.68838138e+10 1.94283669e+07 2.03658926e+21 402
4.21200000e+06 6.62856049e+00 2.43558209e+03 7.82615768e+10 1.68837911e+10 1.94283669e+07 2.11343327e+21 402
4.26400000e+06 6.62854735e+00 2.43557141e+03 7.82589044e+10 1.68837682e+10 1.94283669e+07 2.19218622e+21 402
4.31600000e+06 6.62853405e+00 2.43556061e+03 7.82561988e+10 1.68837450e+10 1.94283669e+07 2.27287152e+21 402
4.36800000e+06 6.62852059e+00 2.43554966e+03 7.82534601e+10 1.68837215e+10 1.94283669e+07 2.35551260e+21 402
4.42000000e+06 6.62850697e+00 2.43553859e+03 7.82506881e+10 1.68836978e+10 1.94283669e+07 2.44013286e+21 402
4.47200000e+06 6.62849318e+00 2.43552738e+03 7.82478830e+10 1.68836737e+10 1.94283669e+07 2.52675572e+21 402
4.52400000e+06 6.62847923e+00 2.43551605e+03 7.82450446e+10 1.68836494e+10 1.94283669e+07 2.61540459e+21 402
4.57600000e+06 6.62846511e+00 2.43550457e+03 7.82421731e+10 1.68836248e+10 1.94283669e+07 2.70610289e+21 402
4.62800000e+06 6.62845083e+00 2.43549297e+03 7.82392684e+10 1.68835999e+10 1.94283669e+07 2.79887403e+21 402
4.68000000e+06 6.62843639e+00 2.43548123e+03 7.82363306e+10 1.68835747e+10 1.94283669e+07 2.89374142e+21 402
4.73200000e+06 6.62842179e+00 2.43546936e+03 7.82333595e+10 1.68835492e+10 1.94283669e+07 2.99072847e+21 402
4.78400000e+06 6.62840702e+00 2.43545736e+03 7.82303553e+10 1.68835235e+10 1.94283669e+07 3.08985860e+21 402
4.83600000e+06 6.62839209e+00 2.43544523e+03 7.82273179e+10 1.68834974e+10 1.94283669e+07 3.19115523e+21 402
4.88800000e+06 6.62837700e+00 2.43543296e+03 7.82242473e+10 1.68834711e+10 1.94283669e+07 3.29464175e+21 402
4.94000000e+06 6.62836174e+00 2.43542056e+03 7.82211435e+10 1.68834445e+10 1.94283669e+07 3.40034158e+21 402
4.99200000e+06 6.62834633e+00 2.43540803e+03 7.82180065e+10 1.68834176e+10 1.94283669e+07 3.50827814e+21 402
5.04400000e+06 6.62833074e+00 2.43539536e+03 7.82148364e+10 1.68833905e+10 1.94283669e+07 3.61847483e+21 402
5.09600000e+06 6.62831500e+00 2.43538257e+03 7.82116331e+10 1.68833630e+10 1.94283669e+07 3.73095507e+21 402
5.14800000e+06 6.62829909e+00 2.43536964e+03 7.82083966e+10 1.68833352e+10 1.94283669e+07 3.84574226e+21 402
5.20000000e+06 6.62828302e+00 2.43535658e+03 7.82051269e+10 1.68833072e+10 1.94283669e+07 3.96285981e+21 402
5.25200000e+06 6.62826678e+00 2.43534338e+03 7.82018240e+10 1.68832789e+10 1.94283669e+07 4.08233114e+21 402
5.30400000e+06 6.62825039e+00 2.43533005e+03 7.81984880e+10 1.68832503e+10 1.94283669e+07 4.20417965e+21 402
5.35600000e+06 6.62823383e+00 2.43531659e+03 7.81951188e+10 1.68832214e+10 1.94283669e+07 4.32842875e+21 402
5.40800000e+06 6.62821710e+00 2.43530300e+03 7.81917164e+10 1.68831923e+10 1.94283669e+07 4.45510184e+21 402
5.46000000e+06 6.62820021e+00 2.43528928e+03 7.81882808e+10 1.68831628e+10 1.94283669e+07 4.58422235e+21 402
5.51200000e+06 6.62818316e+00 2.43527542e+03 7.81848121e+10 1.68831331e+10 1.94283669e+07 4.71581367e+21 402
5.56400000e+06 6.62816595e+00 2.43526143e+03 7.81813102e+10 1.68831031e+10 1.94283669e+07 4.84989921e+21 402
5.61600000e+06 6.62814858e+00 2.43524731e+03 7.81777751e+10 1.68830727e+10 1.94283669e+07 4.98650238e+21 402
5.66800000e+06 6.62813104e+00 2.43523305e+03 7.81742068e+10 1.68830422e+10 1.94283669e+07 5.12564659e+21 402
5.72000000e+06 6.62811333e+00 2.43521866e+03 7.81706054e+10 1.68830113e+10 1.94283669e+07 5.26735523e+21 402
5.77200000e+06 6.62809547e+00 2.43520414e+03 7.81669707e+10 1.68829801e+10 1.94283669e+07 5.41165173e+21 402
