#radius[cm] density[g/cm^3] temperature[K] pressure[dyne/cm^2] sp.energy[erg/g] sp.entropy[erg/g/K] menclosed[g] matID
7.19440000e+06 8.14156016e+00 3.17871888e+03 4.49087090e+11 2.08885097e+10 1.85227378e+07 1.29816915e+22 402
7.30020000e+06 8.14152041e+00 3.17868965e+03 4.49073095e+11 2.08882395e+10 1.85227378e+07 1.35585545e+22 402
7.40600000e+06 8.14148007e+00 3.17865998e+03 4.49058892e+11 2.08879653e+10 1.85227378e+07 1.41522564e+22 402
7.51180000e+06 8.14143915e+00 3.17862989e+03 4.49044483e+11 2.08876871e+10 1.85227378e+07 1.47630394e+22 402
7.61760000e+06 8.14139763e+00 3.17859936e+03 4.49029866e+11 2.08874050e+10 1.85227378e+07 1.53911456e+22 402
7.72340000e+06 8.14135553e+00 3.17856840e+03 4.49015042e+11 2.08871188e+10 1.85227378e+07 1.60368170e+22 402
7.82920000e+06 8.14131284e+00 3.17853700e+03 4.49000011e+11 2.08868286e+10 1.85227378e+07 1.67002957e+22 402
7.93500000e+06 8.14126956e+00 3.17850517e+03 4.48984773e+11 2.08865344e+10 1.85227378e+07 1.73818239e+22 402
8.04080000e+06 8.14122569e+00 3.17847291e+03 4.48969327e+11 2.08862362e+10 1.85227378e+07 1.80816437e+22 402
8.14660000e+06 8.14118123e+00 3.17844022e+03 4.48953674e+11 2.08859340e+10 1.85227378e+07 1.87999970e+22 402
8.25240000e+06 8.14113619e+00 3.17840710e+03 4.48937815e+11 2.08856278e+10 1.85227378e+07 1.95371260e+22 402
8.35820000e+06 8.14109055e+00 3.17837354e+03 4.48921748e+11 2.08853176e+10 1.85227378e+07 2.02932727e+22 402
8.46400000e+06 8.14104433e+00 3.17833955e+03 4.48905474e+11 2.08850034e+10 1.85227378e+07 2.10686792e+22 402
8.56980000e+06 8.14099752e+00 3.17830513e+03 4.48888993e+11 2.08846853e+10 1.85227378e+07 2.18635875e+22 402
8.67560000e+06 8.14095012e+00 3.17827027e+03 4.48872304e+11 2.08843631e+10 1.85227378e+07 2.26782396e+22 402
8.78140000e+06 8.14090214e+00 3.17823498e+03 4.48855409e+11 2.08840369e+10 1.85227378e+07 2.35128776e+22 402
8.88720000e+06 8.14085356e+00 3.17819926e+03 4.48838306e+11 2.08837067e+10 1.85227378e+07 2.43677435e+22 402
8.99300000e+06 8.14080440e+00 3.17816311e+03 4.48820997e+11 2.08833725e+10 1.85227378e+07 2.52430792e+22 402
9.09880000e+06 8.14075465e+00 3.17812652e+03 4.48803480e+11 2.08830344e+10 1.85227378e+07 2.61391268e+22 402
9.20460000e+06 8.14070431e+00 3.17808950e+03 4.48785756e+11 2.08826922e+10 1.85227378e+07 2.70561283e+22 402
9.31040000e+06 8.14065338e+00 3.17805205e+03 4.48767825e+11 2.08823460e+10 1.85227378e+07 2.79943256e+22 402
9.41620000e+06 8.14060186e+00 3.17801417e+03 4.48749687e+11 2.08819958e+10 1.85227378e+07 2.89539608e+22 402
9.52200000e+06 8.14054976e+00 3.17797585e+03 4.48731342e+11 2.08816417e+10 1.85227378e+07 2.99352757e+22 402
9.62780000e+06 8.14049707e+00 3.17793710e+03 4.48712790e+11 2.08812835e+10 1.85227378e+07 3.09385123e+22 402
9.73360000e+06 8.14044379e+00 3.17789792e+03 4.48694031e+11 2.08809213e+10 1.85227378e+07 3.19639126e+22 402
9.83940000e+06 8.14038992e+00 3.17785831e+03 4.48675065e+11 2.08805552e+10 1.85227378e+07 3.30117186e+22 402
9.94520000e+06 8.14033546e+00 3.17781826e+03 4.48655891e+11 2.08801850e+10 1.85227378e+07 3.40821720e+22 402
1.00510000e+07 8.14028042e+00 3.17777778e+03 4.48636511e+11 2.08798109e+10 1.85227378e+07 3.51755149e+22 402
1.01568000e+07 8.14022479e+00 3.17773687e+03 4.48616923e+11 2.08794327e+10 1.85227378e+07 3.62919891e+22 402
1.02626000e+07 8.14016857e+00 3.17769553e+03 4.48597129e+11 2.08790506e+10 1.85227378e+07 3.74318366e+22 402
1.03684000e+07 8.14011176e+00 3.17765375e+03 4.48577128e+11 2.08786644e+10 1.85227378e+07 3.85952991e+22 402
1.04742000e+07 8.14005436e+00 3.17761154e+03 4.48556919e+11 2.08782743e+10 1.85227378e+07 3.97826187e+22 402
1.05800000e+07 8.13999638e+00 3.17756890e+03 4.48536503e+11 2.08778801e+10 1.85227378e+07 4.09940371e+22 402
1.06858000e+07 8.13993780e+00 3.17752583e+03 4.48515881e+11 2.08774820e+10 1.85227378e+07 4.22297962e+22 402
1.07916000e+07 8.13987864e+00 3.17748232e+03 4.48495051e+11 2.08770799e+10 1.85227378e+07 4.34901379e+22 402
1.08974000e+07 8.13981890e+00 3.17743839e+03 4.48474015e+11 2.08766737e+10 1.85227378e+07 4.47753040e+22 402
1.10032000e+07 8.13975856e+00 3.17739402e+03 4.48452771e+11 2.08762636e+10 1.85227378e+07 4.60855362e+22 402
1.11090000e+07 8.13969764e+00 3.17734921e+03 4.48431321e+11 2.08758495e+10 1.85227378e+07 4.74210765e+22 402
1.12148000e+07 8.13963612e+00 3.17730398e+03 4.48409663e+11 2.08754314e+10 1.85227378e+07 4.87821666e+22 402
1.13206000e+07 8.13957402e+00 3.17725831e+03 4.48387799e+11 2.08750092e+10 1.85227378e+07 5.01690483e+22 402
1.14264000e+07 8.13951134e+00 3.17721221e+03 4.48365727e+11 2.08745831e+10 1.85227378e+07 5.15819633e+22 402
1.15322000e+07 8.13944806e+00 3.17716568e+03 4.48343449e+11 2.08741530e+10 1.85227378e+07 5.30211535e+22 402
1.16380000e+07 8.13938420e+00 3.17711872e+03 4.48320964e+11 2.08737189e+10 1.85227378e+07 5.44868606e+22 402
1.17438000e+07 8.13931975e+00 3.17707132e+03 4.48298271e+11 2.08732808e+10 1.85227378e+07 5.59793264e+22 402
1.18496000e+07 8.13925471e+00 3.17702349e+03 4.48275372e+11 2.08728387e+10 1.85227378e+07 5.74987925e+22 402
1.19554000e+07 8.13918908e+00 3.17697523e+03 4.48252266e+11 2.08723927e+10 1.85227378e+07 5.90455007e+22 402
1.20612000e+07 8.13912287e+00 3.17692654e+03 4.48228953e+11 2.08719426e+10 1.85227378e+07 6.06196928e+22 402
1.21670000e+07 8.13905607e+00 3.17687741e+03 4.48205433e+11 2.08714885e+10 1.85227378e+07 6.22216103e+22 402
1.22728000e+07 8.13898868e+00 3.17682786e+03 4.48181706e+11 2.08710304e+10 1.85227378e+07 6.38514950e+22 402
1.23786000e+07 8.13892070e+00 3.17677787e+03 4.48157773e+11 2.08705684e+10 1.85227378e+07 6.55095886e+22 402
1.24844000e+07 8.13885214e+00 3.17672745e+03 4.48133632e+11 2.08701023e+10 1.85227378e+07 6.71961327e+22 402
1.25902000e+07 8.13878299e+00 3.17667659e+03 4.48109285e+11 2.08696323e+10 1.85227378e+07 6.89113689e+22 402
1.26960000e+07 8.13871325e+00 3.17662531e+03 4.48084730e+11 2.08691582e+10 1.85227378e+07 7.06555390e+22 402
1.28018000e+07 8.13864292e+00 3.17657359e+03 4.48059969e+11 2.08686802e+10 1.85227378e+07 7.24288845e+22 402
1.29076000e+07 8.13857200e+00 3.17652144e+03 4.48035001e+11 2.08681982e+10 1.85227378e+07 7.42316470e+22 402
1.30134000e+07 8.13850050e+00 3.17646886e+03 4.48009826e+11 2.08677121e+10 1.85227378e+07 7.60640682e+22 402
1.31192000e+07 8.13842841e+00 3.17641585e+03 4.47984445e+11 2.08672221e+10 1.85227378e+07 7.79263896e+22 402
1.32250000e+07 8.13835574e+00 3.17636240e+03 4.47958856e+11 2.08667281e+10 1.85227378e+07 7.98188527e+22 402
1.33308000e+07 8.13828247e+00 3.17630853e+03 4.47933061e+11 2.08662301e+10 1.85227378e+07 8.17416993e+22 402
1.34366000e+07 8.13820862e+00 3.17625422e+03 4.47907059e+11 2.08657281e+10 1.85227378e+07 8.36951707e+22 402
1.35424000e+07 8.13813418e+00 3.17619948e+03 4.47880850e+11 2.08652221e+10 1.85227378e+07 8.56795086e+22 402
1.36482000e+07 8.13805916e+00 3.17614430e+03 4.47854434e+11 2.08647121e+10 1.85227378e+07 8.76949545e+22 402
1.37540000e+07 8.13798354e+00 3.17608870e+03 4.47827811e+11 2.08641982e+10 1.85227378e+07 8.97417498e+22 402
1.38598000e+07 8.13790734e+00 3.17603266e+03 4.47800982e+11 2.08636802e+10 1.85227378e+07 9.18201361e+22 402
1.39656000e+07 8.13783055e+00 3.17597619e+03 4.47773946e+11 2.08631582e+10 1.85227378e+07 9.39303548e+22 402
1.40714000e+07 8.13775318e+00 3.17591929e+03 4.47746703e+11 2.08626323e+10 1.85227378e+07 9.60726474e+22 402
1.41772000e+07 8.13767522e+00 3.17586196e+03 4.47719254e+11 2.08621024e+10 1.85227378e+07 9.82472554e+22 402
1.42830000e+07 8.13759667e+00 3.17580420e+03 4.47691598e+11 2.08615684e+10 1.85227378e+07 1.00454420e+23 402
1.43888000e+07 8.13751753e+00 3.17574600e+03 4.47663735e+11 2.08610305e+10 1.85227378e+07 1.02694383e+23 402
1.44946000e+07 8.13743781e+00 3.17568737e+03 4.47635665e+11 2.08604886e+10 1.85227378e+07 1.04967386e+23 402
1.46004000e+07 8.13735749e+00 3.17562831e+03 4.47607388e+11 2.08599427e+10 1.85227378e+07 1.07273669e+23 402
1.47062000e+07 8.13727660e+00 3.17556882e+03 4.47578905e+11 2.08593928e+10 1.85227378e+07 1.09613476e+23 402
1.48120000e+07 8.13719511e+00 3.17550890e+03 4.47550216e+11 2.08588389e+10 1.85227378e+07 1.11987045e+23 402
1.49178000e+07 8.13711304e+00 3.17544855e+03 4.47521319e+11 2.08582810e+10 1.85227378e+07 1.14394620e+23 402
1.50236000e+07 8.13703038e+00 3.17538776e+03 4.47492216e+11 2.08577192e+10 1.85227378e+07 1.16836442e+23 402
1.51294000e+07 8.13694713e+00 3.17532654e+03 4.47462906e+11 2.08571533e+10 1.85227378e+07 1.19312751e+23 402
1.52352000e+07 8.13686330e+00 3.17526489e+03 4.47433390e+11 2.08565835e+10 1.85227378e+07 1.21823789e+23 402
1.53410000e+07 8.13677888e+00 3.17520281e+03 4.47403667e+11 2.08560097e+10 1.85227378e+07 1.24369798e+23 402
1.54468000e+07 8.13669388e+00 3.17514030e+03 4.47373737e+11 2.08554318e+10 1.85227378e+07 1.26951019e+23 402
1.55526000e+07 8.13660828e+00 3.17507736e+03 4.47343601e+11 2.08548500e+10 1.85227378e+07 1.29567692e+23 402
1.56584000e+07 8.13652210e+00 3.17501398e+03 4.47313258e+11 2.08542642e+10 1.85227378e+07 1.32220060e+23 402
1.57642000e+07 8.13643534e+00 3.17495017e+03 4.47282709e+11 2.08536744e+10 1.85227378e+07 1.34908362e+23 402
1.58700000e+07 8.13634798e+00 3.17488593e+03 4.47251952e+11 2.08530807e+10 1.85227378e+07 1.37632842e+23 402
1.59758000e+07 8.13626004e+00 3.17482127e+03 4.47220990e+11 2.08524829e+10 1.85227378e+07 1.40393740e+23 402
1.60816000e+07 8.13617151e+00 3.17475616e+03 4.47189821e+11 2.08518812e+10 1.85227378e+07 1.43191296e+23 402
1.61874000e+07 8.13608240e+00 3.17469063e+03 4.47158445e+11 2.08512754e+10 1.85227378e+07 1.46025753e+23 402
1.62932000e+07 8.13599270e+00 3.17462467e+03 4.47126863e+11 2.08506657e+10 1.85227378e+07 1.48897351e+23 402
1.63990000e+07 8.13590241e+00 3.17455827e+03 4.47095074e+11 2.08500520e+10 1.85227378e+07 1.51806331e+23 402
1.65048000e+07 8.13581154e+00 3.17449144e+03 4.47063078e+11 2.08494343e+10 1.85227378e+07 1.54752935e+23 402
1.66106000e+07 8.13572008e+00 3.17442419e+03 4.47030877e+11 2.08488126e+10 1.85227378e+07 1.57737404e+23 402
1.67164000e+07 8.13562803e+00 3.17435650e+03 4.46998468e+11 2.08481869e+10 1.85227378e+07 1.60759979e+23 402
1.68222000e+07 8.13553540e+00 3.17428838e+03 4.46965853e+11 2.08475573e+10 1.85227378e+07 1.63820900e+23 402
1.69280000e+07 8.13544218e+00 3.17421982e+03 4.46933032e+11 2.08469236e+10 1.85227378e+07 1.66920410e+23 402
1.70338000e+07 8.13534838e+00 3.17415084e+03 4.46900004e+11 2.08462860e+10 1.85227378e+07 1.70058748e+23 402
1.71396000e+07 8.13525398e+00 3.17408143e+03 4.46866770e+11 2.08456444e+10 1.85227378e+07 1.73236157e+23 402
1.72454000e+07 8.13515900e+00 3.17401158e+03 4.46833330e+11 2.08449988e+10 1.85227378e+07 1.76452876e+23 402
1.73512000e+07 8.13506344e+00 3.17394131e+03 4.46799683e+11 2.08443492e+10 1.85227378e+07 1.79709148e+23 402
1.74570000e+07 8.13496729e+00 3.17387060e+03 4.46765829e+11 2.08436956e+10 1.85227378e+07 1.83005212e+23 402
1.75628000e+07 8.13487055e+00 3.17379946e+03 4.46731769e+11 2.08430380e+10 1.85227378e+07 1.86341311e+23 402
1.76686000e+07 8.13477323e+00 3.17372789e+03 4.46697503e+11 2.08423765e+10 1.85227378e+07 1.89717684e+23 402
1.77744000e+07 8.13467532e+00 3.17365589e+03 4.46663030e+11 2.08417110e+10 1.85227378e+07 1.93134573e+23 402
1.78802000e+07 8.13457682e+00 3.17358346e+03 4.46628351e+11 2.08410415e+10 1.85227378e+07 1.96592219e+23 402
1.79860000e+07 8.13447774e+00 3.17351059e+03 4.46593466e+11 2.08403680e+10 1.85227378e+07 2.00090862e+23 402
1.80918000e+07 8.13437807e+00 3.17343730e+03 4.46558374e+11 2.08396905e+10 1.85227378e+07 2.03630744e+23 402
1.81976000e+07 8.13427782e+00 3.17336357e+03 4.46523076e+11 2.08390090e+10 1.85227378e+07 2.07212105e+23 402
1.83034000e+07 8.13417698e+00 3.17328942e+03 4.46487572e+11 2.08383236e+10 1.85227378e+07 2.10835187e+23 402
1.84092000e+07 8.13407555e+00 3.17321483e+03 4.46451861e+11 2.08376341e+10 1.85227378e+07 2.14500229e+23 402
1.85150000e+07 8.13397354e+00 3.17313981e+03 4.46415944e+11 2.08369407e+10 1.85227378e+07 2.18207473e+23 402
1.86208000e+07 8.13387094e+00 3.17306436e+03 4.46379821e+11 2.08362433e+10 1.85227378e+07 2.21957159e+23 402
1.87266000e+07 8.13376776e+00 3.17298848e+03 4.46343491e+11 2.08355420e+10 1.85227378e+07 2.25749529e+23 402
1.88324000e+07 8.13366399e+00 3.17291217e+03 4.46306955e+11 2.08348366e+10 1.85227378e+07 2.29584823e+23 402
1.89382000e+07 8.13355964e+00 3.17283543e+03 4.46270213e+11 2.08341273e+10 1.85227378e+07 2.33463281e+23 402
1.90440000e+07 8.13345469e+00 3.17275826e+03 4.46233265e+11 2.08334139e+10 1.85227378e+07 2.37385145e+23 402
1.91498000e+07 8.13334917e+00 3.17268066e+03 4.46196110e+11 2.08326966e+10 1.85227378e+07 2.41350656e+23 402
1.92556000e+07 8.13324306e+00 3.17260263e+03 4.46158750e+11 2.08319754e+10 1.85227378e+07 2.45360053e+23 402
1.93614000e+07 8.13313636e+00 3.17252416e+03 4.46121183e+11 2.08312501e+10 1.85227378e+07 2.49413577e+23 402
1.94672000e+07 8.13302907e+00 3.17244527e+03 4.46083410e+11 2.08305208e+10 1.85227378e+07 2.53511470e+23 402
1.95730000e+07 8.13292120e+00 3.17236594e+03 4.46045430e+11 2.08297876e+10 1.85227378e+07 2.57653971e+23 402
1.96788000e+07 8.13281275e+00 3.17228619e+03 4.46007245e+11 2.08290504e+10 1.85227378e+07 2.61841321e+23 402
1.97846000e+07 8.13270371e+00 3.17220600e+03 4.45968853e+11 2.08283092e+10 1.85227378e+07 2.66073762e+23 402
1.98904000e+07 8.13259408e+00 3.17212538e+03 4.45930256e+11 2.08275641e+10 1.85227378e+07 2.70351533e+23 402
1.99962000e+07 8.13248387e+00 3.17204434e+03 4.45891452e+11 2.08268149e+10 1.85227378e+07 2.74674874e+23 402
2.01020000e+07 8.13237308e+00 3.17196286e+03 4.45852442e+11 2.08260618e+10 1.85227378e+07 2.79044028e+23 402
2.02078000e+07 8.13226170e+00 3.17188095e+03 4.45813226e+11 2.08253047e+10 1.85227378e+07 2.83459233e+23 402
2.03136000e+07 8.13214973e+00 3.17179861e+03 4.45773804e+11 2.08245436e+10 1.85227378e+07 2.87920731e+23 402
2.04194000e+07 8.13203718e+00 3.17171584e+03 4.45734176e+11 2.08237786e+10 1.85227378e+07 2.92428761e+23 402
2.05252000e+07 8.13192404e+00 3.17163264e+03 4.45694341e+11 2.08230095e+10 1.85227378e+07 2.96983565e+23 402
2.06310000e+07 8.13181032e+00 3.17154901e+03 4.45654301e+11 2.08222365e+10 1.85227378e+07 3.01585383e+23 402
